Titulo,Genero,Online,Local,Combo,info1,info2,info3,info4
Curse of the Sea Rats,Platformer,Not available,4,Not available,,,
CUSTOM MECH WARS,Third Person Shooter,4,Not available,Not available,,,
Cyberdimension Neptunia: 4 Goddesses Online,RPG Game,4,Not available,Not available,,,,
Dariusburst: Another Chronicle EX+,Shmup game,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Dariusburst: Chronicle Saviours,Shmup game,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Dark Souls 2: Scholar of the First Sin,Action RPG,6,Not available,Not available,6 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,,
Dark Souls: Remastered,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Dauntless,Action RPG,4,Not available,Not available,,,
Dauntless,Action RPG,4,Not available,Not available,,,,
Dead Island Definitive Collection,FPS,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Dead Rising 4,Action Games,4,Not available,Not available,,,,
Death Road to Canada,Action Games,Not available,4,Not available,Split-Screen,,,
Death Squared,Puzzle Game,Not available,4,Not available,,,,
Deathtrap,Tower Defense game,4,Not available,Not available,,,,
Deathwish Enforcers,Side Scroller game,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Deathwish Enforcers,Side Scroller,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,
Deep Rock Galactic,First Person Shooter,4,Not available,Not available,,,
Deep Rock Galactic,FPS,4,Not available,Not available,,,,
Delta Squad,Twin Stick Shooter game,Not available,4,Not available,,,,
Demeo,Tactical RPG,4,Not available,Not available,,,
Demon's Crystals,Twin Stick Shooter game,Not available,4,Not available,,,,
Demon's Souls,Action RPG,6,Not available,Not available,6 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Destiny 2,Action RPG,6,Not available,Not available,6 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Destiny 2,Action RPG,6,Not available,Not available,6 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,,
Destroy All Humans! – Clone Carnage,Third Person Shooter game,4,2,Not available,Supports Split-Screen,,,
Diablo II: Resurrected,Action RPG,8,Not available,Not available,8 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,
Diablo II: Resurrected,Action RPG,8,Not available,Not available,8 Players in Co-Op,Supports Drop-In/Drop-Out Co-Op,,
Diablo III,Action RPG,4,4,4,Supports Drop-In/Drop-Out Co-Op,,,
Diablo IV,Action RPG,4,2,4,Supports Drop-In/Drop-Out Co-Op,,
Diablo IV,Action RPG,4,2,4,Supports Drop-In/Drop-Out Co-Op,,,
Die for Valhalla!,Beat-Em-Up,Not available,4,Not available,,,,
Disney Infinity 2.0: Marvel Super Heroes,Action/Adventure game,4,2,Not available,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,,
Divinity: Original Sin II - Definitive Edition,RPG Game,4,2,Not available,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,,
Dogfight: A Sausage Bomber Story,Shmup game,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
DOLMEN,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
DOLMEN,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Don't Bite Me Bro!,Survival game,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Don't Starve Together,Action/Adventure game,6,2,Not available,6 Players in Co-Op,Supports Split-Screen,,
DOOM (1993),FPS,Not available,4,Not available,,,,
Doom & Destiny Worlds,RPG Game,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
DOOM II,FPS,Not available,4,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Downward Spiral: Horus Station,Action/Adventure game,8,Not available,Not available,8 Players in Co-Op,,,
Dragon Age: Inquisition,RPG Game,4,Not available,Not available,,,,
Dragon Ball Xenoverse 2,Fighting,6,Not available,Not available,6 Players in Co-Op,,,
Dragon Quest Builders 2,Sandbox game,4,Not available,Not available,,,,
Dragon Quest Heroes 2,Action RPG,4,Not available,Not available,,,,
Dragon's Crown Pro,Beat-Em-Up,4,4,4,,,,
Duke Nukem 3D: 20th Anniversary Edition World Tour,FPS,8,Not available,Not available,8 Players in Co-Op,,,
Dungeon Defenders II,Tower Defense game,4,2,Not available,Supports Split-Screen,Supports Drop-In/Drop-Out Co-Op,,
Dungeon Defenders: Awakened,Tower Defense game,4,Not available,Not available,,,,
Dungeon Defenders: Going Rogue,Tower Defense game,4,Not available,Not available,,,,
Dungeon Defenders: Going Rogue,Tower Defense,4,Not available,Not available,,,
Dungeon Hunter V,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Dungeons & Dragons: Dark Alliance,Action RPG,4,Not available,Not available,,,
Dungeons & Dragons: Dark Alliance,Action RPG,4,Not available,Not available,,,,
Dungeons of Sundaria,Action RPG,Not available,4,Not available,Supports Split-Screen,Supports LAN or System-Link Play,
Dungeons of Sundaria,Action RPG,Not available,4,Not available,Supports Split-Screen,Supports LAN or System-Link Play,,
Dying Light 2 Stay Human,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,
Dying Light 2 Stay Human,Action RPG,4,Not available,Not available,Supports Drop-In/Drop-Out Co-Op,,,
Dying Light,Survival Horror game,4,Not available,Not available,,,,
Dying Light: Platinum Edition,Survival Horror game,4,Not available,Not available,Supports LAN or System-Link Play,Supports Drop-In/Drop-Out Co-Op,,
Earth Defense Force 4.1: The Shadow of New Despair,Action Games,4,2,Not available,Split-Screen,,,
Earth Defense Force 5,Third Person Shooter game,4,2,Not available,Supports Split-Screen,,,
Earth Defense Force 6,Third Person Shooter game,4,2,Not available,Supports Split-Screen,,,
Earth Defense Force 6,Third Person Shooter,4,2,Not available,Supports Split-Screen,,
Earth Defense Force: Iron Rain,Action Games,6,2,Not available,6 Players in Co-Op,Split-Screen,,
Earth Defense Force: World Brothers 2,Third Person Shooter game,4,Not available,Not available,Supports LAN or System-Link Play,,,
Earth Defense Force: World Brothers 2,Third Person Shooter,4,Not available,Not available,Supports LAN or System-Link Play,,
Earth Defense Force: World Brothers,Third Person Shooter game,4,2,Not available,Supports Split-Screen,,,
Earthfall,FPS,4,Not available,Not available,,,,
Eight Dragons,Beat-Em-Up,Not available,4,Not available,,,
Eight Dragons,Beat-Em-Up,Not available,4,Not available,,,,
Elite: Dangerous,Flight,4,Not available,Not available,,,,
Ember Knights,Action RPG,4,4,Not available,,,,
